"","instituicao","depto","estado","iniciado","completo","tempo","termo","idade","sexo","escolaridade","estadocivil","estadocivil.outros","formacao","ocupacao","servico","tempodeservico","religiao","religiao.outras","contato.tema","lida.com","onde.lida.com","lida.com.outros","ps001","ps002","ps003","ps004","ps005","ps006","ps007","ps008","ps009","ps010","ps011","ps012","ps013","ps014","ps015","ps016","ps017","ps018","ps019","ps020","ps021","ps022","ps023","ps024","ps025","ps026","ps027","ps028","ps029","ps030","ps031","ps032","ps033","ps034","ps035","ps036","ps037","ps038","ps039","ps040","ps041","ps042"
"134","",NA,"Finalizadas","11 maio 2014  22:28","11 maio 2014  22:38","9 minutos 50 segundos","Sim","36","Feminino","Pós-graduação","Outros","União Estável","HIstória","Professora de Educação Básica e Tutora à distância",NA,"8","Outras","Não tenho religião","Não","Sim","Outros","Escola e Família","2","3","2","1","2","1","2","2","3","2","2","2","2","3","3","2","2","2","2","2","4","3","3","4","4","2","2","3","2","2","4","4","2","3","3","3","4","3","3","2","2","2"
"135","",NA,"Finalizadas","11 maio 2014  22:46","11 maio 2014  23:10","23 minutos 28 segundos","Sim","35","Feminino","Pós-graduação","Casado (a)","nenhum outro","Graduada em Letras, Lingua Espanhola e em Fonoaudiologia, pos-graduada em Ensino de Lingua Portuguesa","professora e fonoaudiologa","Escola Estadual Conego Joaquim Monteiro, Matias Barbosa, MG","07","Espírita","nenhuma outra","Não","Sim","Escola","nenhum outro","3","2","3","3","2","3","2","2","1","1","3","2","3","4","5","2","1","3","2","1","5","3","3","3","3","2","1","3","2","1","4","4","3","4","4","3","3","3","3","2","1","3"
"136","",NA,"Finalizadas","12 maio 2014  08:12","12 maio 2014  08:24","12 minutos 33 segundos","Sim","50","Masculino","Pós-graduação","Divorciado (a)","Não há","Ciencias Biológicas - Educação Ambiental","Professor","Escola Municipal em Juiz de Fora - Professor","22","Espírita","Não há","Sim","Sim","Escola","Família","1","2","4","1","2","1","1","2","2","1","1","1","1","2","5","1","1","2","1","1","5","4","5","5","1","1","1","4","1","1","5","5","1","5","5","4","5","5","1","1","1","1"
"137","",NA,"Finalizadas","12 maio 2014  09:17","12 maio 2014  20:15","10 horas 57 minutos","Sim","37 anos","Feminino","Pós-graduação","Solteiro (a)",NA,"Licenciatura Plena em Letras","Professora","Professora Regente","10","Católica",NA,"Sim","Sim","Escola",NA,"1","4","4","2","2","2","2","1","1","1","1","2","3","1","5","1","1","4","2","1","5","4","1","4","5","1","2","4","2","1","4","4","4","4","4","2","2","2","5","1","1","2"
"138","",NA,"Finalizadas","12 maio 2014  09:33","12 maio 2014  10:27","53 minutos 58 segundos","Sim","45","Feminino","Pós-graduação","Divorciado (a)",NA,"Ciências biológicas","Tutora em curso à distância e estudante de pós graduação","Professora","Como professora 11anos","Sem religião",NA,"Sim","Sim","Outros","No círculo de amigos","2","3","1","1","1","1","1","3","2","2","1","2","2","4","5","2","1","2","1","1","3","3","3","3","4","1","1","1","1","1","5","4","3","4","4","4","3","3","3","1","1","2"
"139","",NA,"Finalizadas","12 maio 2014  10:48","12 maio 2014  12:07","1 hora 19 minutos","Sim","29","Feminino","Pós-graduação","Casado (a)",NA,"Pedagogia e Especialista em Supervisão e Inspeção Escolar","Monitora","Educação","7","Evangélica",NA,"Sim","Não","Outros",NA,"3","2","3","3","2","3","3","3","3","2","2","2","2","2","5","3","2","2","3","3","4","2","2","2","3","1","1","3","2","1","4","2","3","2","3","2","3","3","3","2","2","1"
"140","",NA,"Em progresso","12 maio 2014  12:01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","",NA,"Finalizadas","12 maio 2014  13:18","12 maio 2014  13:34","15 minutos 51 segundos","Sim","37","Masculino","Pós-graduação","Outros","União Estável","Graduação em Educação Física","Professor","Docência e pesquisa","12","Espírita",NA,"Sim","Não",NA,NA,"3","4","5","2","2","2","3","3","2","2","3","2","2","1","4","3","2","4","2","3","3","4","1","5","4","2","3","3","3","1","4","5","4","4","3","4","3","4","3","2","1","3"
"142","",NA,"Finalizadas","12 maio 2014  19:26","12 maio 2014  19:47","20 minutos 36 segundos","Sim","26","Feminino","Pós-graduação","Solteiro (a)",NA,"Pedagogia","Professora","Professora","9 anos","Evangélica",NA,"Sim","Não",NA,NA,"1","3","2","1","1","1","2","2","1","2","2","2","2","3","5","1","1","1","1","1","5","4","3","5","1","2","1","2","1","1","5","4","2","4","5","4","5","3","2","1","5","2"
"143","",NA,"Finalizadas","12 maio 2014  19:45","12 maio 2014  20:15","30 minutos 1 segundo","Sim","56","Feminino","Pós-graduação","Casado (a)",NA,"Pedagogia -psicopedagogia -Matemática incompleto","professora -psicopedagoga","professor regente -psicopedagoga","26","Católica",NA,"Sim","Sim","Escola",NA,"1","1","4","2","2","2","2","2","1","1","1","1","2","1","4","2","2","4","2","2","4","4","2","4","4","2","2","4","2","2","4","4","4","4","4","2","2","2","4","1","1","2"
